Target,Drug,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
DDC,Carbidopa,NCT01883505,https://clinicaltrials.gov/study/NCT01883505,Phase 2,Completed,primary,PK,Levodopa pharmacokinetics (LD PK),"1hr and 2hr predose, 0h, 0.5 hr, 1hr, 1.",Parkinson's Disease,Yes
DDC,Carbidopa,NCT02116465,https://clinicaltrials.gov/study/NCT02116465,Phase 1,Completed,primary,PK,Cmax and AUC(0-tz) of levodopa and carbidopa,12 hours,Fasted State,No
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,Cmax - Maximum Plasma Concentration of Levodopa (Levodopa/Carbidopa),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,Tmax - Time to Reach Maximum Plasma Concentration of Levodopa (Levodopa/Carbidopa),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity (Levodopa/Carbidopa),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Carbidopa),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,Cmax - Maximum Plasma Concentration of Levodopa (Levodopa/Benserazide ),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,Tmax - Time to Reach Maximum Plasma Concentration of Levodopa (Levodopa/Benserazide),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity (Levodopa/Benserazide),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02169414,https://clinicaltrials.gov/study/NCT02169414,Phase 1,Completed,primary,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Benserazide),pre-dose and at the following times post,Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02170376,https://clinicaltrials.gov/study/NCT02170376,Phase 1,Completed,primary,PK,Cmax - Maximum Plasma Concentration of Levodopa,"pre-first dose and at 0.5, 1.0, 1.5, 2.0",Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02170376,https://clinicaltrials.gov/study/NCT02170376,Phase 1,Completed,primary,PK,Tmax - Time of Occurrence of Maximum Plasma Concentration,"pre-first dose and at 0.5, 1.0, 1.5, 2.0",Parkinson's Disease (PD),Yes
DDC,Carbidopa,NCT02170376,https://clinicaltrials.gov/study/NCT02170376,Phase 1,Completed,primary,PK,AUC0-∞ - Area Under the Concentration-time Curve From Time Zero up to Infinity With Extrapolation of the Terminal Phase,"pre-first dose and at 0.5, 1.0, 1.5, 2.0",Parkinson's Disease (PD),Yes
